phone,status,duration
0875344368,outgoing,2922
0875344368,outgoing,1321
0875344368,outgoing,2564
0875344368,outgoing,2910
0875344368,outgoing,625
0875344368,outgoing,1301
0875344368,outgoing,1179
0875344368,outgoing,614
0612182785,outgoing,780
0612182785,outgoing,1151
0612182785,outgoing,3229
0612182785,outgoing,1770
0612182785,outgoing,2214
0612182785,outgoing,1801
0612182785,outgoing,1472
0612182785,outgoing,2838
0612182785,outgoing,3314
0612182785,outgoing,662
0688749360,outgoing,3404
0688749360,outgoing,691
0688749360,outgoing,2243
0688749360,outgoing,626
0688749360,outgoing,295
0688749360,outgoing,3004
0688749360,outgoing,337
0688749360,outgoing,3276
0688749360,outgoing,1400
0848643276,outgoing,2112
0848643276,outgoing,557
0848643276,outgoing,337
0848643276,outgoing,1801
0848643276,outgoing,1594
0848643276,outgoing,2362
0597511688,incoming,517
0563350785,incoming,520
0563350785,incoming,1931
0563350785,incoming,1810
0920187348,incoming,1027
0688749360,incoming,1892
0848643276,incoming,1379
0603321665,incoming,3454
0920187348,incoming,240
0688749360,incoming,2588
0920187348,incoming,3116
0920187348,incoming,3401
0688749360,incoming,514
0603321665,incoming,3165
0597511688,incoming,3175
0363661308,incoming,2782
0363661308,outgoing,2782
0688749360,incoming,1946
0688749360,incoming,1250
0887597506,incoming,1169
0612182785,incoming,936
0875344368,incoming,2274
0603321665,incoming,2852
0563350785,incoming,1289
0875344368,incoming,1992
0887597506,incoming,417
0875344368,incoming,3220
0603321665,incoming,842
0848643276,incoming,1847
0688749360,incoming,517
0612182785,incoming,2902
0875344368,incoming,116
0688749360,incoming,310
0563350785,incoming,1476
0875344368,incoming,313
0848643276,incoming,2861
0563350785,incoming,1434
0875344368,incoming,177
0603321665,incoming,3346
0563350785,incoming,3017
0887597506,incoming,3128
0920187348,incoming,2972
0363661308,incoming,2992
0363661308,outgoing,2992
0688749360,incoming,1297
0920187348,incoming,243
0612182785,incoming,3335
0848643276,incoming,1555
0887597506,incoming,1881
0603321665,incoming,1297
0887597506,incoming,315
0688749360,incoming,2168
0688749360,incoming,1131
0563350785,incoming,3430
0597511688,incoming,1774
0363661308,incoming,2470
0363661308,outgoing,2470
0563350785,incoming,2894
0603321665,incoming,395
0597511688,incoming,3302
0363661308,incoming,1704
0363661308,outgoing,1704
0603321665,incoming,3574
0887597506,incoming,2004
0887597506,incoming,571
0363661308,incoming,41
0363661308,outgoing,41
0603321665,incoming,1518
0920187348,incoming,2225
0612182785,incoming,2873
0887597506,incoming,1518
0920187348,incoming,687
0887597506,incoming,2106
0875344368,incoming,2282
0875344368,incoming,1866
0887597506,outgoing,3095
0887597506,outgoing,472
0887597506,outgoing,416
0887597506,outgoing,2078
0887597506,outgoing,216
0887597506,outgoing,3203
0887597506,outgoing,3087
0887597506,outgoing,1247
0887597506,outgoing,2159
0887597506,outgoing,842
0920187348,outgoing,1126
0920187348,outgoing,1763
0920187348,outgoing,3132
0920187348,outgoing,3437
0920187348,outgoing,2983
0603321665,outgoing,3370
0603321665,outgoing,559
0603321665,outgoing,531
0603321665,outgoing,435
0603321665,outgoing,2085
0603321665,outgoing,2645
0603321665,outgoing,69
0603321665,outgoing,46
0603321665,outgoing,1222
0603321665,outgoing,1492
0597511688,outgoing,3482
0597511688,outgoing,3217
0597511688,outgoing,1600
0597511688,outgoing,2617
0597511688,outgoing,1043
0597511688,outgoing,1602
0597511688,outgoing,3199
0597511688,outgoing,2211
0563350785,outgoing,2867
0563350785,outgoing,1078
0563350785,outgoing,2403
0563350785,outgoing,3139
0563350785,outgoing,2531
